AMELVA	37.34150	-77.97580
AMENNY	41.84537	-73.56089
AMESIA	42.07693	-93.00899
AMESOK	36.24603	-98.18880
AMFKUT	40.37886	-111.79936
AMFLID	42.77689	-112.91703
AMHRMA	42.37955	-72.52785
AMHRNE	40.83550	-99.27118
AMHRNS	45.83494	-64.20633
AMHRNY	43.04263	-78.73874
AMHROH	41.39814	-82.22354
AMHRTX	34.01444	-102.41694
AMHRVA	37.58331	-79.04888
AMHRWI	44.44970	-89.31501
AMITLA	30.72795	-90.50697
AMLKAK	60.86104	-162.27592
AMOSKY	37.95023	-83.62569
AMOSPQ	48.57783	-78.11747
AMQUPQ	48.46853	-67.43493
AMRCGA	32.05476	-84.17630
AMRCKS	38.50784	-96.25684
AMRLTX	35.20634	-101.83823
AMRNMB	50.60079	-98.73374
AMRTMO	38.25901	-94.58240
AMRYMS	34.03121	-88.53666
AMRYWI	45.30939	-92.36129
AMSAMI	46.23119	-88.44668
AMSBMA	42.85523	-70.93471
AMSTMO	38.34776	-94.59095
AMSTMT	45.75901	-111.30945
AMSTNY	42.93903	-74.19423
AMSTOH	40.47024	-80.92391
AMTYAR	34.26630	-93.46837
AMTYOR	45.11733	-123.20666
AMVLOH	39.39950	-81.95264
AMVLOR	44.84088	-122.87103
AMZNMO	39.88253	-94.89323
ANARMI	42.28113	-83.74725
ANATWA	46.18945	-116.98696
ANCHNM	35.18863	-105.14598
ANCLPQ	46.79961	-71.34660
ANCMCA	38.07535	-120.54359
ANCNMT	46.10033	-112.94947
ANCRAK	61.22373	-149.82236
ANCRWA	48.51826	-122.61410
ANCSON	43.22609	-79.97606
ANDLKS	37.79424	-97.63095
ANDLMN	45.26387	-94.12434
ANDRAB	53.88204	-112.33272
ANDRIA	42.15080	-90.60020
ANDRIN	40.85827	-85.60215
ANDRNC	35.20260	-83.82310
ANDROK	35.07377	-98.23873
ANDRSC	33.45158	-79.56270
ANDRTX	32.31846	-102.54763
ANDSAL	31.30699	-86.48294
ANDSNY	42.18877	-74.78376
ANDVIL	41.29515	-90.29394
ANDVMA	42.65770	-71.13980
ANDVME	44.63804	-70.74545
ANDVNH	43.43647	-71.82073
ANDVNJ	40.99265	-74.73690
ANDVNY	42.15468	-77.79527
ANDVOH	41.60691	-80.59804
ANDVSD	45.40876	-97.90585
ANFRNM	36.37846	-105.28559
ANGEKY	36.71146	-84.48218
ANGENY	42.30780	-78.01986
ANGILA	30.96782	-89.81345
ANGLDE	38.67984	-75.12804
ANGLIN	41.63652	-84.99961
ANGLNY	42.64099	-79.02703
ANGLSC	34.65004	-80.39162
ANGNAK	57.50151	-134.58069
ANGRNC	35.51044	-78.75078
ANGWCA	38.57366	-122.44161
ANHCTX	29.76598	-94.68235
ANHLHI	22.14324	-159.31412
ANHMCA	33.83544	-117.91546
ANHMSK	52.20104	-105.12205
ANHNCA	33.84704	-117.96876
ANHNHI	21.28139	-157.75810
ANIKAK	61.34090	-159.30060
ANITIA	41.44585	-94.76380
ANJTMD	39.12362	-76.79946
ANJTPQ	46.16467	-72.22519
ANKNIA	41.72822	-93.60052
ANMRFL	27.50462	-82.71272
ANMSIA	42.10826	-91.28207
ANMSNM	31.94939	-108.80634
